Model,MDO3034
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-06,
Horizontal Delay,6e-06,
Sample Interval,2e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Vertical Position,-3,-3
,,
,,
,,
Label,,
TIME,CH1,CH2
-2.5780e-06,0.24,0.16
-2.5760e-06,0,0.16
-2.5740e-06,0.16,0.16
-2.5720e-06,0.08,0.16
-2.5700e-06,0.08,0.08
-2.5680e-06,0.08,0.08
-2.5660e-06,0.16,0.16
-2.5640e-06,0.16,0.24
-2.5620e-06,0.16,0.16
-2.5600e-06,0.16,0.16
-2.5580e-06,0.16,0.16
-2.5560e-06,0.08,0.16
-2.5540e-06,0.08,0.16
-2.5520e-06,0.08,0.08
-2.5500e-06,0.16,0.24
-2.5480e-06,0.16,0.08
-2.5460e-06,0.24,0.24
-2.5440e-06,0.16,0.16
-2.5420e-06,0.08,0.16
-2.5400e-06,0.16,0.16
-2.5380e-06,0.16,0.16
-2.5360e-06,0.08,0.08
-2.5340e-06,0.24,0.16
-2.5320e-06,0.08,0.24
-2.5300e-06,0.16,0.24
-2.5280e-06,0.16,0.16
-2.5260e-06,0.24,0.16
-2.5240e-06,0.08,0.16
-2.5220e-06,0.16,0.24
-2.5200e-06,0.08,0.16
-2.5180e-06,0.08,0.08
-2.5160e-06,0.16,0.24
-2.5140e-06,0.16,0.08
-2.5120e-06,0,0.16
-2.5100e-06,0.08,0.08
-2.5080e-06,0.16,0.16
-2.5060e-06,0.16,0.24
-2.5040e-06,0.16,0.16
-2.5020e-06,0.08,0.24
-2.5000e-06,0.16,0.16
-2.4980e-06,0.16,0.16
-2.4960e-06,0.16,0.16
-2.4940e-06,0.16,0.24
-2.4920e-06,0.16,0.08
-2.4900e-06,0,0.16
-2.4880e-06,0.16,0.16
-2.4860e-06,0.16,0.16
-2.4840e-06,0.08,0.16
-2.4820e-06,0.24,0.16
-2.4800e-06,0.16,0.24
-2.4780e-06,0.08,0.08
-2.4760e-06,0.16,0.24
-2.4740e-06,0.16,0.16
