Model,MDO3034
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0001,
Horizontal Delay,0.0003,
Sample Interval,1e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,5
Vertical Position,-3,-3
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.290e-04,0.08,0.2
-1.289e-04,0.16,0.2
-1.288e-04,0.08,0.2
-1.287e-04,0.16,0.2
-1.286e-04,0.08,0.4
-1.285e-04,0.16,0.2
-1.284e-04,0.08,0.6
-1.283e-04,0.08,0.4
-1.282e-04,0.16,0.4
-1.281e-04,0.08,0.4
-1.280e-04,0.08,0.2
-1.279e-04,0.08,0.4
-1.278e-04,0.16,0.2
-1.277e-04,0.08,0.4
-1.276e-04,0,0.4
-1.275e-04,0.16,0.2
-1.274e-04,0.16,0.4
-1.273e-04,0.16,0.2
-1.272e-04,0.08,0.2
-1.271e-04,0.16,0.2
-1.270e-04,0.16,0.4
-1.269e-04,0.16,0.4
-1.268e-04,0.16,0.2
-1.267e-04,0.16,0.2
-1.266e-04,0.16,0.2
-1.265e-04,0.16,0.2
-1.264e-04,0.08,0.2
-1.263e-04,0.16,0.2
-1.262e-04,0.16,0.2
-1.261e-04,0.16,0.4
-1.260e-04,0.16,0.2
-1.259e-04,0.16,0.6
-1.258e-04,0.16,0.2
-1.257e-04,0.08,0.2
-1.256e-04,0.08,0.4
-1.255e-04,0.16,0.2
-1.254e-04,0.24,0.4
-1.253e-04,0.16,0.4
-1.252e-04,0.16,0.2
-1.251e-04,0.16,0.4
-1.250e-04,0.24,0.4
-1.249e-04,0.08,0.2
-1.248e-04,0.08,0.2
-1.247e-04,0,0.4
-1.246e-04,0.16,0.4
-1.245e-04,0.16,0.2
-1.244e-04,0.08,0.4
-1.243e-04,0.16,0.4
-1.242e-04,0.08,0.4
-1.241e-04,0.16,0.2
-1.240e-04,0.08,0.2
-1.239e-04,0.16,0.2
-1.238e-04,0.08,0.4
-1.237e-04,0.24,0.2
-1.236e-04,0.08,0.4
-1.235e-04,0.24,0.2
-1.234e-04,0.16,0.4
-1.233e-04,0.08,0.4
-1.232e-04,0.08,0.2
-1.231e-04,0.16,0.2
-1.230e-04,0.16,0.4
-1.229e-04,0.16,0.2
-1.228e-04,0.16,0.2
-1.227e-04,0.08,0.4
-1.226e-04,0.08,0.4
-1.225e-04,0.08,0.4
-1.224e-04,0.16,0.4
-1.223e-04,0.08,0.2
-1.222e-04,0.16,0.2
-1.221e-04,0.24,0.4
-1.220e-04,0.16,0.2
-1.219e-04,0.16,0.4
-1.218e-04,0.08,0.4
-1.217e-04,0.16,0.4
-1.216e-04,0.08,0.2
-1.215e-04,0.24,0.4
-1.214e-04,0.08,0.2
-1.213e-04,0.08,0.2
-1.212e-04,0.16,0.2
-1.211e-04,0.08,0.2
-1.210e-04,0.08,0.2
-1.209e-04,0.16,0.4
-1.208e-04,0.08,0.2
-1.207e-04,0.16,0.2
-1.206e-04,0.08,0.6
-1.205e-04,0.16,0.2
-1.204e-04,0.16,0.4
-1.203e-04,0.08,0.4
-1.202e-04,0.08,0.2
-1.201e-04,0.08,0.4
-1.200e-04,0.16,0.2
-1.199e-04,0.16,0.4
-1.198e-04,0.16,0.2
-1.197e-04,0.16,0.2
-1.196e-04,0.08,0.4
-1.195e-04,0.08,0.2
-1.194e-04,0.24,0.2
-1.193e-04,0.08,0.2
-1.192e-04,0.24,0.4
-1.191e-04,0.08,0.2
-1.190e-04,0.16,0.2
-1.189e-04,0.16,0.2
-1.188e-04,0.08,0.2
-1.187e-04,0.16,0.4
-1.186e-04,0.24,0.2
